Sum of __index_level_0__,Sum of avg_temp_c,Sum of avg_sea_level_pres_hpa,Sum of avg_wind_dir_deg,Sum of avg_wind_speed_kmh,city,competition,country,city_name,Sum of Draw,Sum of max_temp_c,Sum of Loose,Sum of min_temp_c,neutral,Opponent,Sum of peak_wind_gust_kmh,Sum of Point,Sum of precipitation_mm,Result,season,Snow,Sum of snow_depth_mm,stadium,station_id,Sum of TA,Sum of TF,Team,Sum of sunshine_total_min,Sum of TotalTri,TrancheTemp,TranchWind,Sum of Win,world_cup
56577,6.7,1011.2,239,25.2,Dublin,2022 Six Nations Championship,Ireland,Dublin,0,9.7,1,2.5,False,Wales,66.7,0,8.4,L,Winter,false,,Aviva Stadium,03969,7,29,Ireland,,36,0-20,moins de 30,0,False
57137,17.8,1001.9,200,27.8,Dublin,2023 Rugby World Cup warm-up match,Ireland,Dublin,0,20.7,0,15.8,False,England,86,3,2.3,W,Summer,false,,Aviva Stadium,03969,10,29,Ireland,,39,0-20,moins de 30,1,False
57137,17.8,1001.9,200,27.8,Dublin,2023 Rugby World Cup warm-up match,Ireland,Dublin,0,20.7,1,15.8,False,Ireland,86,0,2.3,L,Summer,false,,Aviva Stadium,03969,29,10,England,,39,0-20,moins de 30,0,False
57123,13,1011.1,3,23.9,Dublin,2023 Rugby World Cup warm-up match,Ireland,Dublin,0,17.3,1,10.4,False,Ireland,68,0,36.7,L,Summer,false,,Aviva Stadium,03969,33,17,Italy,,50,0-20,moins de 30,0,False
57123,13,1011.1,3,23.9,Dublin,2023 Rugby World Cup warm-up match,Ireland,Dublin,0,17.3,0,10.4,False,Italy,68,3,36.7,W,Summer,false,,Aviva Stadium,03969,17,33,Ireland,,50,0-20,moins de 30,1,False
56983,8.4,1005.8,250,17.7,Dublin,2023 Six Nations Championship,Ireland,Dublin,0,11.6,0,6.4,False,England,42.6,3,1.1,W,Spring,false,,Aviva Stadium,03969,16,29,Ireland,,45,0-20,moins de 30,1,False
56948,8.8,1035.4,217,9.2,Dublin,2023 Six Nations Championship,Ireland,Dublin,0,11.2,0,7.8,False,France,25.9,3,0,W,Winter,false,,Aviva Stadium,03969,19,32,Ireland,,51,0-20,moins de 30,1,False
56983,8.4,1005.8,250,17.7,Dublin,2023 Six Nations Championship,Ireland,Dublin,0,11.6,1,6.4,False,Ireland,42.6,0,1.1,L,Spring,false,,Aviva Stadium,03969,29,16,England,,45,0-20,moins de 30,0,False
56948,8.8,1035.4,217,9.2,Dublin,2023 Six Nations Championship,Ireland,Dublin,0,11.2,1,7.8,False,Ireland,25.9,0,0,L,Winter,false,,Aviva Stadium,03969,32,19,France,,51,0-20,moins de 30,0,False
56150,4.8,996.2,337,22.2,Dublin,Autumn Nations Cup,Ireland,Dublin,0,7.3,1,0.6,False,Ireland,65,0,1,L,Winter,false,,Aviva Stadium,03969,31,16,Scotland,,47,0-20,moins de 30,0,False
